food_category,food_department,food_family,store_sales_in_millions,store_cost_in_millions,unit_sales_in_millions,promotion_name,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at_home_approx,avg_yearly_income,num_children_at_home,brand_name,SRP,gross_weight,net_weight,recyclable_package,low_fat,units_per_case,store_type,store_city,store_state,store_sqft,grocery_sqft,frozen_sqft,meat_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist,media_type,cost
Dairy,Dairy,Food,15.92,6.0496,4.0,Free For All,S,M,2.0,Partial College,Bronze,Professional,N,1.0,$90K - $110K,0.0,Carlson,3.98,14.8,12.8,0.0,0.0,30.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,"Sunday Paper, Radio",126.24
Meat,Deli,Food,5.52,2.76,2.0,Cash Register Lottery,M,M,3.0,High School Degree,Bronze,Manual,Y,3.0,$30K - $50K,1.0,American,2.76,7.49,6.48,1.0,1.0,33.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio, TV",55.59
Vegetables,Canned Foods,Food,5.22,2.4534,3.0,Bag Stuffers,S,F,4.0,Partial High School,Normal,Manual,N,0.0,$10K - $30K,0.0,Just Right,1.74,8.66,6.65,1.0,0.0,32.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",126.62
Bread,Baked Goods,Food,7.95,3.975,3.0,Save-It Sale,M,M,1.0,Bachelors Degree,Bronze,Professional,Y,2.0,$50K - $70K,0.0,Colony,2.65,16.4,15.3,1.0,0.0,35.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Daily Paper,81.79
Paper Products,Household,Non-Consumable,7.12,2.3496,2.0,Two for One,S,F,4.0,Bachelors Degree,Bronze,Professional,Y,2.0,$70K - $90K,0.0,Red Wing,3.56,15.6,14.6,1.0,0.0,20.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Daily Paper,68.97
Dairy,Dairy,Food,6.28,3.0144,4.0,Two for One,S,M,2.0,Partial College,Bronze,Management,N,2.0,$30K - $50K,0.0,Gorilla,1.57,8.79,6.78,0.0,0.0,21.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio, TV",57.52
Vegetables,Produce,Food,4.5,1.44,3.0,High Roller Savings,S,F,5.0,Bachelors Degree,Normal,Professional,Y,0.0,$10K - $30K,0.0,Hermanos,1.5,9.99,7.98,0.0,0.0,11.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,TV,72.61
Jams and Jellies,Baking Goods,Food,6.54,2.0928,3.0,Two for One,M,F,3.0,Partial College,Golden,Professional,Y,3.0,$30K - $50K,3.0,Super,2.18,8.82,7.81,0.0,1.0,24.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio, TV",57.52
Drinks,Beverages,Drink,2.49,1.1952,3.0,Savings Galore,M,M,2.0,Bachelors Degree,Bronze,Management,Y,3.0,$50K - $70K,1.0,Washington,0.83,13.1,11.1,1.0,1.0,17.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Street Handout,138.53
Beer and Wine,Alcoholic Beverages,Drink,1.66,0.747,2.0,Price Winners,S,F,1.0,Partial High School,Bronze,Skilled Manual,Y,4.0,$30K - $50K,0.0,Good,0.83,6.98,4.98,0.0,0.0,24.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,"Sunday Paper, Radio",122.51
Canned Soup,Canned Foods,Food,3.51,1.1583,3.0,Big Promo,M,M,5.0,High School Degree,Bronze,Manual,N,3.0,$30K - $50K,2.0,Pleasant,1.17,13.5,12.5,1.0,0.0,9.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,"Sunday Paper, Radio, TV",117.04
Vegetables,Produce,Food,3.12,1.2792,4.0,Go For It,S,F,4.0,Partial High School,Normal,Skilled Manual,N,1.0,$10K - $30K,0.0,Tri-State,0.78,17.9,14.8,1.0,0.0,15.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,"Daily Paper, Radio",67.01
Frozen Desserts,Frozen Foods,Food,11.85,5.5695,3.0,Super Savers,S,M,4.0,High School Degree,Bronze,Skilled Manual,Y,1.0,$30K - $50K,0.0,Golden,3.95,19.0,16.0,0.0,0.0,11.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,Cash Register Handout,71.51
Pain Relievers,Health and Hygiene,Non-Consumable,8.49,4.1601,3.0,Bye Bye Baby,M,F,1.0,Bachelors Degree,Bronze,Professional,Y,3.0,$50K - $70K,1.0,Steady,2.83,11.8,9.8,1.0,0.0,18.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Radio,90.58
Drinks,Beverages,Drink,5.96,2.384,2.0,Shelf Emptiers,S,M,3.0,Partial High School,Normal,Skilled Manual,N,0.0,$10K - $30K,0.0,Excellent,2.98,12.8,10.8,0.0,0.0,28.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,"Daily Paper, Radio, TV",107.89
Packaged Vegetables,Produce,Food,4.58,1.7404,2.0,Bag Stuffers,S,F,0.0,Partial High School,Normal,Skilled Manual,Y,1.0,$10K - $30K,0.0,Ebony,2.29,17.3,15.2,1.0,1.0,4.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",126.62
Bread,Baked Goods,Food,6.2,2.542,4.0,Two Day Sale,M,F,4.0,Partial High School,Golden,Skilled Manual,Y,4.0,$30K - $50K,4.0,Fantastic,1.55,10.6,8.6,0.0,1.0,13.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,Sunday Paper,126.88
Paper Products,Household,Non-Consumable,5.25,2.2575,3.0,Free For All,S,M,1.0,Bachelors Degree,Bronze,Professional,N,2.0,$50K - $70K,0.0,Sunset,1.75,13.2,11.1,1.0,0.0,9.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Daily Paper,52.06
Specialty,Produce,Food,13.6,5.576,4.0,Double Down Sale,M,M,3.0,Bachelors Degree,Bronze,Management,Y,2.0,$70K - $90K,1.0,Tell Tale,3.4,7.87,6.86,0.0,0.0,26.0,Deluxe Supermarket,Tacoma,WA,33858.0,22123.0,7041.0,4694.0,1.0,0.0,1.0,1.0,1.0,TV,95.74
Beer and Wine,Alcoholic Beverages,Drink,6.48,2.7864,4.0,Save-It Sale,M,M,2.0,High School Degree,Bronze,Skilled Manual,N,4.0,$30K - $50K,0.0,Good,1.62,6.89,5.88,0.0,0.0,13.0,Supermarket,Los Angeles,CA,23598.0,14210.0,5633.0,3755.0,0.0,0.0,0.0,0.0,1.0,Daily Paper,81.79
Canned Soup,Canned Foods,Food,7.48,2.4684,4.0,Green Light Days,S,M,4.0,High School Degree,Bronze,Professional,N,3.0,$70K - $90K,0.0,Just Right,1.87,9.31,6.31,1.0,1.0,10.0,Supermarket,Portland,OR,20319.0,16232.0,2452.0,1635.0,0.0,0.0,0.0,0.0,0.0,Cash Register Handout,139.19
Meat,Deli,Food,5.28,2.2704,3.0,Big Promo,M,M,4.0,Partial High School,Silver,Manual,Y,4.0,$30K - $50K,4.0,Cutting Edge,1.76,21.9,19.8,1.0,0.0,7.0,Supermarket,Seattle,WA,21215.0,13305.0,4746.0,3164.0,1.0,0.0,0.0,0.0,0.0,Cash Register Handout,123.88
Vegetables,Canned Foods,Food,13.35,5.874,5.0,Big Time Discounts,M,M,4.0,Bachelors Degree,Golden,Professional,Y,4.0,$50K - $70K,4.0,Blue Label,2.67,12.6,10.6,1.0,0.0,26.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",111.51
Frozen Entrees,Frozen Foods,Food,3.33,1.5984,3.0,Shelf Clearing Days,M,M,1.0,Partial High School,Normal,Skilled Manual,Y,1.0,$10K - $30K,0.0,PigTail,1.11,18.4,16.3,1.0,0.0,17.0,Supermarket,Bremerton,WA,39696.0,24390.0,9184.0,6122.0,0.0,0.0,1.0,1.0,0.0,Sunday Paper,106.1
Snack Foods,Snack Foods,Food,6.36,1.9716,3.0,High Roller Savings,S,F,1.0,Graduate Degree,Bronze,Professional,Y,1.0,$110K - $130K,0.0,Nationeel,2.12,17.0,15.0,1.0,0.0,15.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,Daily Paper,101.84
Kitchen Products,Household,Non-Consumable,5.62,1.686,2.0,Sales Days,M,F,5.0,Bachelors Degree,Silver,Professional,Y,3.0,$70K - $90K,1.0,High Quality,2.81,20.7,19.7,1.0,0.0,17.0,Supermarket,Spokane,WA,30268.0,22063.0,4923.0,3282.0,0.0,0.0,0.0,0.0,0.0,Bulk Mail,116.74
Canned Soup,Canned Foods,Food,11.22,4.9368,3.0,Cash Register Lottery,M,M,1.0,Partial High School,Normal,Skilled Manual,Y,0.0,$10K - $30K,1.0,Better,3.74,8.73,6.72,1.0,0.0,17.0,Deluxe Supermarket,Salem,OR,27694.0,18670.0,5415.0,3610.0,1.0,1.0,1.0,1.0,1.0,"Daily Paper, Radio",59.86
Decongestants,Health and Hygiene,Non-Consumable,5.04,1.6632,3.0,Sales Galore,S,M,2.0,Partial High School,Normal,Skilled Manual,N,1.0,$10K - $30K,0.0,Hilltop,1.68,21.5,18.5,1.0,0.0,22.0,Gourmet Supermarket,Beverly Hills,CA,23688.0,15337.0,5011.0,3340.0,1.0,1.0,1.0,1.0,1.0,TV,106.16
